[2022-04-11 13:28:50] 正在初始化
[2022-04-11 13:28:50] 成功加载 9 门课程
[2022-04-11 13:28:50] 初始化完成
[2022-04-11 13:28:50] Web 服务启动成功，请访问 http://localhost:9090 进入系统
[2022-04-11 13:31:21] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 2

[2022-04-11 13:31:22] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 5

[2022-04-11 13:31:23] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 5

[2022-04-11 13:31:23] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 5

[2022-04-11 13:33:17] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 5

[2022-04-11 13:33:17] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 5

[2022-04-11 13:33:21] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-11 13:33:22] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-11 13:33:22] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

