[2022-04-11 22:00:01] 正在初始化
[2022-04-11 22:00:01] 成功加载 9 门课程
[2022-04-11 22:00:01] 初始化完成
[2022-04-11 22:00:01] Web 服务启动成功，请访问 http://localhost:9090 进入系统
[2022-04-11 22:00:15] 上传资料文件：资料名： 一些关于搜索的还需修改、增添的api和数据结构.docx ,资料备注：  ,上传时间: 2021 年 - 1 月 - 4 日 - 0 时 - 0 分

[2022-04-11 22:00:15] 存入文件，文件名为： 一些关于搜索的还需修改、增添的api和数据结构.docx
[2022-04-11 22:01:05] 新增课程作业: 课程名： 计算机网络 ，作业标题： 写一篇论文 ，作业发布时间： 2021 年 - 1 月 - 4 日 - 0 时 - 0 分,作业描述： 23324 ,作业是否完成: false

[2022-04-11 22:01:13] 存入文件，文件名为： 新建位图图像.bmp
[2022-04-11 22:01:13] 上传作业文件：课程名： 计算机网络 ,作业标题： 写一篇论文 ,作业名: 新建位图图像.bmp ,备注：  ,上传时间： 2021 年 - 1 月 - 4 日 - 0 时 - 0 分

[2022-04-11 22:01:31] 上传作业文件：课程名： 计算机网络 ,作业标题： 写一篇论文 ,作业名: 一些关于搜索的还需修改、增添的api和数据结构.docx ,备注：  ,上传时间： 2021 年 - 1 月 - 4 日 - 0 时 - 0 分

[2022-04-11 22:01:31] 存入文件，文件名为： 一些关于搜索的还需修改、增添的api和数据结构.docx
[2022-04-11 22:18:27] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 2

[2022-04-11 22:18:27] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 5

[2022-04-11 22:18:27] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-11 22:18:27] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:12] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:18] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:19] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:20] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:20] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:21] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:29:24] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:31:25] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:31:28] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 22:31:33] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 23:02:37] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 23:02:37] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 23:02:38] 接收控制信息：是否为管理员： true ，是否暂停时间： true ,时间倍速： 1

[2022-04-11 23:02:38] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 1

