[2022-04-13 21:05:36] 正在初始化
[2022-04-13 21:05:36] 成功加载 9 门课程
[2022-04-13 21:05:36] 成功加载 2 类活动
[2022-04-13 21:05:36] 初始化完成
[2022-04-13 21:05:36] Web 服务启动成功，请访问 http://localhost:9090 进入系统
[2022-04-13 21:05:43] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 2

[2022-04-13 21:05:43] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 5

[2022-04-13 21:05:44] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:05:45] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:05:49] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:05:57] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:06:01] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:06:01] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:06:02] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:06:03] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:06:04] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:06:05] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:06:05] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:02] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:04] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:04] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:05] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:06] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:21] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:47] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:52] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:52] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:55] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:56] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:07:58] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:07:59] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:00] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:08:00] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:07] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:11] 删除考试,时间：星期 1 - 第 12 节，校区： 沙河校区 ，地点： 沙河操场 ，教室号: N516 ，名称： 计算机网络

[2022-04-13 21:08:12] 删除考试,时间：星期 1 - 第 13 节，校区： 沙河校区 ，地点： 沙河操场 ，教室号: N516 ，名称： 计算机网络

[2022-04-13 21:08:12] 删除考试,时间：星期 1 - 第 14 节，校区： 沙河校区 ，地点： 沙河操场 ，教室号: N516 ，名称： 计算机网络

[2022-04-13 21:08:13] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:08:14] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:15] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:08:16] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:17] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

[2022-04-13 21:08:17] 接收控制信息：是否为管理员： false ，是否暂停时间： false ,时间倍速： 10

[2022-04-13 21:08:18] 接收控制信息：是否为管理员： false ，是否暂停时间： true ,时间倍速： 10

